section,planning,item,original_value,corrected_value,unit,multiplier,basis
design,maximum,canonical_waves,110,110,waves,1.000000,Output-15 incidence and canonical wave plan unchanged
design,maximum,replication_tasks,8400,8400,tasks,1.000000,maximum plan unchanged
design,maximum,total_MCMC_chain_executions,40938,40938,chains,1.000000,chain and sentinel incidence unchanged
mcmc,initial,total_MCMC_iterations,43332000,161046000,primitive_replica_iterations,3.716560,frozen method-wide transition policies and M03 replica count reproduced from the incidence and sentinel plans
mcmc,central,total_MCMC_iterations,80484000,301698000,primitive_replica_iterations,3.748546,frozen method-wide transition policies and M03 replica count reproduced from the incidence and sentinel plans
mcmc,maximum,total_MCMC_iterations,117636000,442350000,primitive_replica_iterations,3.760331,frozen method-wide transition policies and M03 replica count reproduced from the incidence and sentinel plans
schedule,standard,M01_M07_M09_M10_retained_draws,2000,6000,draws,3.000000,one-chain component-scale diagnostic correction
schedule,sentinel,M01_M07_M09_M10_retained_draws,2000,6000,draws,3.000000,four-chain component-scale schedule matched to the fixed standard role after local-level mixing failure
schedule,standard,M11_retained_draws,3000,9000,draws,3.000000,one-chain learned-scale component diagnostic correction
schedule,sentinel,M11_retained_draws,3000,9000,draws,3.000000,four-chain learned component-scale schedule matched prospectively to the fixed standard role
schedule,standard,M02_MCMC_retained_draws_per_endpoint,2000,8000,draws,4.000000,selected whole-scan-x2 distance with 4000 diagnostic draws after fixed thinning
schedule,sentinel,M02_MCMC_retained_draws_per_endpoint,2000,8000,draws,4.000000,selected whole-scan-x2 distance with 4000 diagnostic draws after fixed thinning
schedule,standard,M03_retained_draws,1500,3000,draws,2.000000,one-chain fixed-design diagnostic correction
schedule,sentinel,M03_retained_draws,1500,1500,draws,1.000000,four-chain fixed-design schedule unchanged
schedule,all,M03_replica_count,1,4,replicas,4.000000,exact REX4 correction applied uniformly to standard and sentinel fixed-design roles
schedule,all,M08_retained_draws,2000,4000,draws,2.000000,uniform true-fixed-W method schedule selected on one hard and two guard cases
schedule,all,M01_M02_M06_M09_transition_multiplier,1,2,complete_transitions,2.000000,minimum predeclared whole-scan candidate eligible in the bounded skewed comparison
schedule,all,M10_transition_multiplier,1,1,complete_transitions,1.000000,minimum eligible joint-ESS candidate retained the base whole-scan distance
schedule,all,M11_transition_multiplier,1,2,complete_transitions,2.000000,minimum eligible joint-ESS candidate required the doubled whole-scan distance
schedule,all,M10_M11_joint_elliptical_cycles,0,1,cycles_per_transition,,one exact joint path elliptical-slice cycle selected prospectively for both methods
benchmark,development,M01_S01_rep0114_fit_elapsed,330.876,496.814,seconds,1.501511,identical 3000-iteration seed stream before versus after exact ASIS
benchmark,development,M01_S01_rep0114_standard_fit_elapsed,,1083.578,seconds,,7000 total iterations under corrected standard schedule
benchmark,development,M01_S01_rep0114_peak_RSS,,762672,KiB,,GNU time maximum resident set
benchmark,development,M01_S03_rep0028_ASIS_only_elapsed,,420.70,seconds,,2500-iteration development chain before partial collapse
benchmark,development,M01_S03_rep0028_selected_partial_collapse_elapsed,,467.06,seconds,,2500-iteration development chain with three partial-collapse and ASIS slice sweeps
benchmark,development,M01_S03_rep0028_log_q_bulk_ESS,48.980,108.028,draws,2.205553,same 1500 retained draws in the single-chain transition comparison
benchmark,development,M01_S03_rep0028_log_q_effective_draws_per_second,0.11643,0.23129,draws_per_second,1.986516,same scenario replication profile and shortened development schedule
benchmark,development,M01_S03_rep0028_four_chain_log_q_Rhat,,1.00137,ratio,,three-sweep four-profile development comparison
benchmark,development,M01_S03_rep0028_four_chain_log_q_bulk_ESS,,405.3803,draws,,three-sweep four-profile development comparison with 1500 retained draws per chain
